budget,revenue,runtime,popularity,vote_average,Language_count,lang_de,lang_en,lang_es,lang_fr,lang_hi,lang_other,lang_pt,lang_ru,lang_tr,season_Fall,season_Summer,season_Winter,Action,Adventure,Animation,Crime,Documentary,Drama,Family,Fantasy,Horror,Romance,Science Fiction
18.358805350872576,20.661747323790628,100,55.456,7.824,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17.50439003707821,20.369159022538295,135,74.73,7.242,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
16.811242881518265,18.301465380504105,101,55.739,7.421,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19.00846741441004,20.51173254126546,132,46.103,7.334,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
19.33697147982652,20.676494795426205,146,111.984,7.763,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
18.980296537602072,20.500779589560636,105,166.578,8.222,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
18.951309000896888,20.387466576026245,136,31.482,7.671,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
18.749984498289212,20.526896330538627,121,63.478,7.279,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
19.00846741441004,20.071859002213046,98,58.517,8.078,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
17.926384438531027,19.727202096859884,149,46.611,7.892,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19.33697147982652,20.74414980976988,169,83.524,7.339,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
18.560442695023177,20.178034636229476,92,86.936,7.835,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
17.216707972959764,19.792876183228252,81,78.404,7.971,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
18.72078534381011,20.09393911477868,157,36.747,7.5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
19.33697147982652,20.58817612105235,152,78.589,5.952,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
17.622173069956816,20.45336547791666,89,87.384,8.256,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
18.450239555902648,19.958324386788266,155,53.587,8.209,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
17.909855136853043,19.391907295755736,103,42.954,8.133,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18.33729914588288,20.263516798004815,115,62.609,7.704,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
17.665658180950928,19.13062696221271,116,47.983,7.6,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
16.24587310890507,19.366886630101117,133,64.627,8.515,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18.951309000896888,20.284424602723067,112,59.968,6.538,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
19.186148590743098,20.446102467127286,136,78.989,6.691,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
16.012735246411598,19.444764722393494,117,44.51,7.337,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18.5159909328476,20.482335802301208,120,66.096,7.492,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
16.759949589762293,17.617310042468596,144,45.252,8.218,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17.216707972959764,19.01348854294667,111,36.315,7.97,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18.683045016112164,20.578253645150763,146,49.864,7.4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
16.380459992348886,19.87133043208706,113,41.656,8.277,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15.319588176962746,19.358372707027264,104,36.442,7.62,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16.454567959008102,19.268931189058076,113,47.491,8.007,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17.76675429577647,20.622332066555714,135,37.55,7.997,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17.909855136853043,19.474300460959977,189,83.739,8.507,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
17.341871111992198,19.668631759263018,113,83.206,7.173,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
17.370858648025116,19.966775872336942,100,72.655,7.312,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.705882371415992,20.10411233815215,124,35.265,8.4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
17.909855136853043,20.005525346915377,90,94.456,7.73,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
18.826145858727198,20.251221728939107,111,82.488,7.809,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
18.20995972498239,19.842225318810943,129,56.288,7.636,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
17.216707972959764,19.918980808481656,129,32.009,7.897,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
18.826145858727198,20.96559928670034,102,85.794,7.2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
18.826145858727198,20.08271110840317,107,34.529,7.456,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
18.826145858727198,20.746771595259897,109,98.11,7.748,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
17.50439003707821,19.944263558285037,89,33.913,6.44,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
17.958645300228824,20.63999291883943,127,24.213,7.941,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
16.759949589762293,19.424040235503067,119,9.119,8.3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
16.759949589762293,19.43200924034735,125,68.024,8.539,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
18.8906843794481,20.95921975599948,129,56.226,6.967,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
19.11382792951231,20.78685998699344,151,69.403,7.346,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
18.92145603792546,20.304453796996437,102,98.41,7.738,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
18.132998684833918,19.678357306661837,116,45.241,7.345,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.643824303266577,20.44270066186144,123,85.889,6.796,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
18.569100757691327,20.567880405794057,112,48.649,6.826,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
17.50439003707821,18.513043967561824,130,48.832,8.203,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
18.826145858727198,20.187823104947856,101,59.815,7.201,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
18.064005814299346,19.99312455529168,169,59.745,8.209,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18.839391085389497,20.846736177624663,124,50.399,6.843,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
17.341871111992198,19.240218643098707,113,44.974,7.5,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
